acc_shift,accuracy,saturation_rate,tie_rate
8.000000000000000000e+00,8.733999999999999542e-01,7.265000000000000346e-01,3.160000000000000309e-02
9.000000000000000000e+00,8.800999999999999934e-01,3.460799999999999987e-01,1.689999999999999836e-02
1.000000000000000000e+01,8.810000000000000053e-01,3.536000000000000254e-02,1.909999999999999892e-02
1.100000000000000000e+01,8.781999999999999806e-01,4.000000000000000327e-05,3.350000000000000200e-02
1.200000000000000000e+01,8.709000000000000075e-01,0.000000000000000000e+00,7.530000000000000582e-02
1.300000000000000000e+01,8.338999999999999746e-01,0.000000000000000000e+00,2.162000000000000033e-01
1.400000000000000000e+01,6.734999999999999876e-01,0.000000000000000000e+00,5.471000000000000307e-01
1.500000000000000000e+01,3.148000000000000242e-01,0.000000000000000000e+00,9.518999999999999684e-01
1.600000000000000000e+01,1.145999999999999935e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,9.800000000000000377e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,9.800000000000000377e-02,0.000000000000000000e+00,1.000000000000000000e+00
